#{"t_start": 1788693726.192893, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-12.36,286,0.38225,1,0,3,5,True
-12.44,394,0.520486,1,0,4,5,True
-14.37,287,0.621033,1,0,1,5,True
-12.46,196,0.691414,1,0,2,5,True
-7.69,319,0.804187,1,1,3,5,True
-13.24,274,0.89968,1,0,2,5,True
-12.24,174,0.96223,1,0,2,5,True
-12.35,185,1.441802,1,0,2,5,True
-12.39,189,1.506445,1,0,2,5,True
-11.73,223,1.583278,1,0,3,5,True
-14.17,167,1.639302,1,0,0,5,True
-13.73,123,1.681407,1,0,0,5,True
-12.8,230,1.758825,1,0,2,5,True
-14.13,163,1.813506,1,0,0,5,True
-13.81,131,1.858635,1,0,0,5,True
-13.95,145,1.905846,1,0,0,5,True
-10.28,378,2.029201,1,0,6,5,True
-13.46,196,2.093865,1,0,1,5,True
-14.53,203,2.560408,1,0,0,5,True
-14.63,213,2.635005,1,0,0,5,True
-13.26,176,2.696303,1,0,1,5,True
-11.99,249,2.783452,1,0,3,5,True
-12.47,197,2.85215,1,0,2,5,True
-13.01,151,2.903979,1,0,1,5,True
-13.96,146,2.956267,1,0,0,5,True
-11.04,454,3.113948,1,0,6,5,True
-13.89,439,3.684808,1,0,3,5,True
-14.2,370,3.816501,1,0,2,5,True
-14.74,224,3.895007,1,0,0,5,True
-13.51,201,3.965989,1,0,1,5,True
-12.59,309,4.073978,1,0,3,5,True
-10.24,374,4.205687,1,0,6,5,True
-14.86,236,4.289614,1,0,0,5,True
-13.45,195,4.756257,1,0,1,5,True
-11.74,424,4.904272,1,0,5,5,True
-13.56,306,5.013247,1,0,2,5,True
-15.05,255,5.102921,1,0,0,5,True
-14.08,458,5.264717,1,0,3,5,True
-13.14,264,5.357666,1,0,2,5,True
-13.52,302,5.463454,1,0,2,5,True
-12.52,402,6.010129,1,0,4,5,True
-14.27,277,6.108464,1,0,1,5,True
-13.31,281,6.205777,1,0,2,5,True
-10.73,523,6.390278,1,0,7,5,True
-13.77,227,6.470936,1,0,1,5,True
-15.03,253,6.559997,1,0,0,5,True
-15.06,356,7.095872,1,0,1,5,True
-12.06,256,7.186581,1,0,3,5,True
-13.08,258,7.277888,1,0,2,5,True
-11.41,591,7.486419,1,0,7,5,True
-5.44,294,7.589739,1,1,5,5,True
-13.87,237,7.673382,1,0,1,5,True
-8.43,593,8.270909,1,0,10,5,True
-9.49,399,8.410126,1,0,7,5,True
-14.4,190,8.476226,1,0,0,5,True
-10.4,490,8.646831,1,0,7,5,True
-9.05,255,8.73609,1,1,1,5,True
-12.77,427,9.287093,1,0,4,5,True
-4.76,626,9.513485,1,1,9,5,True
-5.6,610,9.729608,1,0,13,5,True
-11.92,142,9.778371,1,0,2,5,True
-12.69,319,9.891734,1,0,3,5,True
-6.99,749,10.572374,1,0,13,5,True
-11.86,336,10.694856,1,0,4,5,True
-8.4,590,10.909197,1,0,10,5,True
9.5,700,11.572693,2,2,9,5,True
-4.11,761,11.845558,1,1,11,5,True
-4.99,849,12.156311,1,0,16,5,True
15.85,665,12.799477,2,2,15,5,True
-6.32,582,13.008218,1,1,7,5,True
3.33,717,13.266581,1,1,18,5,True
-8.4,390,13.407501,1,0,8,5,True
-6.21,1071,14.198622,1,1,12,5,True
11.91,759,14.471865,2,2,12,5,True
-7.05,755,15.148652,1,0,13,5,True
-1.93,843,15.459014,1,0,19,5,True
9.79,271,15.557489,2,2,5,5,True
-3.96,1146,16.380061,1,1,15,5,True
14.14,936,16.716145,2,2,16,5,True
10.93,657,17.353882,2,2,10,5,True
-8.15,565,17.559758,1,0,10,5,True
24.6,1690,18.57435,2,2,34,5,True
-2.7,520,18.759041,1,1,10,5,True
-5.21,1071,19.552947,1,0,18,5,True
21.59,1391,20.066239,2,2,28,5,True
-0.52,602,20.284441,1,1,13,5,True
8.28,1022,21.057919,2,2,11,5,True
14.35,715,21.320098,2,2,14,5,True
13.06,844,22.033831,2,2,14,5,True
0.88,862,22.34011,1,1,17,5,True
19.8,1770,23.413518,2,2,30,5,True
11.95,655,23.667055,2,2,11,5,True
16.02,1048,24.457812,2,2,19,5,True
13.97,753,24.730983,2,2,14,5,True
9.89,761,25.452608,2,2,10,5,True
-8.53,503,25.67419,1,0,9,5,True
-7.79,229,25.766825,1,1,2,5,True
11.15,435,25.914527,2,2,8,5,True
14.95,1155,26.728259,2,2,19,5,True
13.69,781,27.007209,2,2,14,5,True
38.0,2000,28.240767,3,5,15,4,False
-7.25,675,28.499078,1,0,12,5,True
