#{"t_start": 1788950605.130591, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-10.24,274,0.410973,1,0,5,5,True
-12.43,293,0.506057,1,0,3,5,True
-12.91,141,0.551893,1,0,1,5,True
-12.3,280,0.646522,1,0,3,5,True
-9.36,286,0.74038,1,1,1,5,True
-12.09,259,0.82295,1,0,3,5,True
-14.65,215,0.893497,1,0,0,5,True
-12.74,224,0.969315,1,0,2,5,True
-12.86,436,1.528381,1,0,4,5,True
-12.64,214,1.599025,1,0,2,5,True
-11.37,387,1.730569,1,0,5,5,True
-11.68,218,1.805826,1,0,3,5,True
-14.58,308,1.904462,1,0,1,5,True
-13.92,142,1.951068,1,0,0,5,True
-13.72,222,2.029374,1,0,1,5,True
-11.82,232,2.50874,1,0,3,5,True
-14.72,222,2.587366,1,0,0,5,True
-13.23,273,2.682153,1,0,2,5,True
-11.62,412,2.826076,1,0,5,5,True
-14.08,258,2.916241,1,0,1,5,True
-15.46,296,3.019717,1,0,0,5,True
-15.38,288,3.12049,1,0,0,5,True
-12.17,267,3.624742,1,0,3,5,True
-12.52,402,3.784043,1,0,4,5,True
-14.09,159,3.834333,1,0,0,5,True
-14.25,275,3.926513,1,0,1,5,True
-12.92,442,4.082716,1,0,4,5,True
-13.47,297,4.184996,1,0,2,5,True
-12.81,331,4.306107,1,0,3,5,True
-13.28,178,4.767449,1,0,1,5,True
-13.19,169,4.826138,1,0,1,5,True
-14.09,159,4.879753,1,0,0,5,True
-12.98,148,4.928373,1,0,1,5,True
-14.45,295,5.023374,1,0,1,5,True
-12.12,662,5.249155,1,0,7,5,True
-13.03,253,5.337027,1,0,2,5,True
-13.6,210,5.410878,1,0,1,5,True
-14.12,262,5.90463,1,0,1,5,True
-13.61,511,6.087183,1,0,4,5,True
-13.36,186,6.146753,1,0,1,5,True
-6.18,668,6.364169,1,0,13,5,True
-12.11,461,6.523342,1,0,5,5,True
-12.4,490,7.102776,1,0,5,5,True
-14.43,493,7.275091,1,0,3,5,True
-7.24,674,7.514924,1,1,7,5,True
-11.13,363,7.635346,1,0,5,5,True
-8.2,870,8.359352,1,0,13,5,True
10.12,1138,8.746853,2,2,14,5,True
-6.1,1060,9.551326,1,1,12,5,True
7.26,524,9.747843,2,2,5,5,True
5.19,1631,10.788833,2,2,14,5,True
9.29,1221,11.66847,2,2,14,5,True
6.29,621,11.899681,2,2,5,5,True
-14.99,249,11.990546,1,0,0,5,True
11.01,1149,12.811886,2,2,15,5,True
7.22,1028,13.200074,2,2,10,5,True
7.41,909,13.929026,2,2,9,5,True
16.36,714,14.220357,2,2,16,5,True
12.79,671,14.467171,2,2,12,5,True
2.6,890,15.261652,2,2,4,5,True
12.94,756,15.539645,2,2,13,5,True
-10.01,651,15.789302,1,0,9,5,True
2.31,719,16.508934,1,1,17,5,True
16.11,939,16.879683,2,2,18,5,True
-5.63,513,17.075957,1,1,7,5,True
12.06,844,17.800425,2,2,13,5,True
-10.22,372,17.936931,1,0,6,5,True
-4.82,432,18.096857,1,1,7,5,True
0.22,928,18.825681,1,1,17,5,True
0.1,540,19.018093,1,1,13,5,True
11.54,796,19.304202,2,2,12,5,True
-3.15,765,19.971828,1,0,17,5,True
17.59,1191,20.394373,2,2,22,5,True
17.28,1322,21.272491,2,2,23,5,True
-3.91,541,21.464915,1,1,9,5,True
16.33,1017,22.239332,2,2,19,5,True
16.63,987,22.57851,2,2,19,5,True
12.14,536,22.771181,2,2,10,5,True
-3.23,773,23.456804,1,0,17,5,True
-13.54,304,23.554623,1,0,2,5,True
8.3,920,23.867514,2,2,10,5,True
17.82,1068,24.651805,2,2,21,5,True
-3.96,646,24.882913,1,1,10,5,True
14.52,698,25.56746,2,2,14,5,True
12.14,1136,26.01373,2,2,16,5,True
15.41,909,26.770401,2,3,12,5,True
17.61,1389,27.358845,2,2,24,5,True
17.72,1078,28.223848,2,2,21,5,True
21.33,1517,28.841292,2,2,29,5,True
