#{"t_start": 1788693756.597557, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-15.42,292,0.411055,1,0,0,5,True
-15.62,312,0.513676,1,0,0,5,True
-14.01,151,0.561343,1,0,0,5,True
-14.67,217,0.63216,1,0,0,5,True
-15.86,436,0.778403,1,0,1,5,True
-15.68,318,0.886768,1,0,0,5,True
-14.44,394,1.428758,1,0,2,5,True
-9.35,185,1.492375,1,1,0,5,True
-14.52,202,1.558905,1,0,0,5,True
-15.96,346,1.6778,1,0,0,5,True
-14.03,153,1.731851,1,0,0,5,True
-14.63,213,1.807704,1,0,0,5,True
-15.02,252,1.894927,1,0,0,5,True
-16.47,397,2.02213,1,0,0,5,True
-13.33,383,2.547908,1,0,3,5,True
-15.37,287,2.646547,1,0,0,5,True
-10.07,257,2.73317,1,1,0,5,True
-15.67,317,2.841838,1,0,0,5,True
-14.57,207,2.912304,1,0,0,5,True
-15.28,278,3.006417,1,0,0,5,True
-16.65,415,3.152421,1,0,0,5,True
-14.19,169,3.60888,1,0,0,5,True
-14.87,237,3.71198,1,0,0,5,True
-15.22,272,3.805049,1,0,0,5,True
-17.68,718,4.056025,1,0,2,5,True
-16.13,363,4.175462,1,0,0,5,True
-14.87,237,4.253711,1,0,0,5,True
-14.49,199,4.725542,1,0,0,5,True
-14.07,257,4.809093,1,0,1,5,True
-17.92,642,5.029831,1,0,1,5,True
-14.62,212,5.102535,1,0,0,5,True
-13.51,201,5.169917,1,0,1,5,True
-15.0,250,5.258327,1,0,0,5,True
-14.8,230,5.337197,1,0,0,5,True
-14.86,336,5.858501,1,0,1,5,True
-19.15,1465,6.379272,1,1,3,5,True
-18.31,681,7.016362,1,0,1,5,True
-14.49,299,7.12314,1,0,1,5,True
-0.12,1462,7.662675,2,2,7,5,True
-14.4,390,8.201145,1,0,2,5,True
-17.37,887,8.548017,1,0,4,5,True
-10.33,383,8.693876,1,1,1,5,True
5.12,1238,9.585652,2,2,10,5,True
-16.15,1165,10.064235,1,0,8,5,True
4.55,495,10.687655,2,2,2,5,True
-6.41,591,10.922132,1,0,12,5,True
-12.27,477,11.094388,1,0,5,5,True
-18.36,986,11.918878,1,0,4,5,True
-9.41,691,12.204824,1,1,5,5,True
-11.34,784,12.506672,1,1,4,5,True
4.87,963,13.263829,2,2,7,5,True
5.0,2000,14.447566,2,2,7,4,False
2.88,962,14.824045,2,2,5,5,True
10.74,876,15.569269,2,2,12,5,True
9.93,857,15.882298,2,2,11,5,True
8.67,883,16.604363,2,2,10,5,True
6.56,294,16.708725,2,2,2,5,True
8.94,1256,17.187203,2,2,14,5,True
16.22,1128,18.065617,2,4,10,5,True
2.18,732,18.333955,2,2,2,5,True
-4.93,843,19.057977,1,1,11,5,True
-10.47,497,19.22131,1,0,7,5,True
-8.37,387,19.36248,1,1,3,5,True
5.65,685,19.613595,2,2,5,5,True
-7.53,603,20.230087,1,0,11,5,True
-7.54,504,20.40604,1,0,10,5,True
-11.82,232,20.487586,1,0,3,5,True
-14.03,153,20.541499,1,0,0,5,True
-12.39,289,20.644672,1,0,3,5,True
-14.0,350,20.770429,1,0,2,5,True
7.7,580,21.391208,2,2,6,5,True
11.2,1030,21.760529,2,2,14,5,True
-5.47,597,22.387936,1,1,8,5,True
11.81,769,22.707477,2,2,12,5,True
8.5,400,22.848654,2,2,5,5,True
31.5,2000,24.061682,3,5,8,3,False
-5.18,568,24.284223,1,1,8,5,True
8.49,501,24.877645,2,2,6,5,True
7.1,740,25.152698,2,2,7,5,True
10.74,676,25.412622,2,2,10,5,True
-5.68,318,25.545438,1,1,5,5,True
18.0,2000,26.733087,2,4,10,4,False
-14.12,262,27.247196,1,0,1,5,True
-9.73,423,27.42975,1,0,7,5,True
-8.03,453,27.630667,1,1,4,5,True
8.62,288,27.748536,2,2,4,5,True
11.29,721,28.012312,2,2,11,5,True
10.84,666,28.648797,2,3,5,5,True
