#{"t_start": 1788951146.994059, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-13.9,140,0.349203,1,0,0,5,True
-15.42,292,0.450074,1,0,0,5,True
-14.56,206,0.519254,1,0,0,5,True
-15.67,317,0.626189,1,0,0,5,True
-14.2,170,0.680528,1,0,0,5,True
-16.91,441,0.825048,1,0,0,5,True
-14.33,183,0.887075,1,0,0,5,True
-9.48,398,1.442637,1,1,2,5,True
-15.93,343,1.554483,1,0,0,5,True
-15.4,290,1.652144,1,0,0,5,True
-8.58,308,1.75851,1,1,2,5,True
-15.26,276,1.853387,1,0,0,5,True
-14.22,172,1.911922,1,0,0,5,True
-13.82,132,1.956908,1,0,0,5,True
-14.24,174,2.018166,1,0,0,5,True
-16.13,363,2.545979,1,0,0,5,True
-15.04,254,2.630854,1,0,0,5,True
-15.36,286,2.730124,1,0,0,5,True
-14.56,206,2.799586,1,0,0,5,True
-14.27,177,2.861498,1,0,0,5,True
-15.16,266,2.95537,1,0,0,5,True
-14.54,204,3.02487,1,0,0,5,True
-14.78,228,3.102403,1,0,0,5,True
-16.14,364,3.632635,1,0,0,5,True
-16.47,497,3.826267,1,0,1,5,True
-16.67,517,4.009169,1,0,1,5,True
-13.83,133,4.055439,1,0,0,5,True
-14.33,183,4.119435,1,0,0,5,True
-16.54,404,4.260379,1,0,0,5,True
-13.93,143,4.310262,1,0,0,5,True
-13.45,295,4.825311,1,0,2,5,True
-7.91,541,5.01245,1,1,5,5,True
-13.89,339,5.131323,1,0,2,5,True
-14.01,251,5.223229,1,0,1,5,True
-13.39,189,5.28894,1,0,1,5,True
-14.73,223,5.365438,1,0,0,5,True
-14.63,413,5.912899,1,0,2,5,True
-16.01,451,6.078116,1,0,1,5,True
-16.34,484,6.258321,1,0,1,5,True
0.69,881,6.588001,2,2,2,5,True
-7.95,1045,7.400092,1,1,10,5,True
-14.06,256,7.501549,1,0,1,5,True
-10.96,546,7.709792,1,1,2,5,True
-14.42,192,7.779833,1,0,0,5,True
-16.94,544,8.396755,1,0,1,5,True
-17.88,1038,8.820742,1,0,5,5,True
-12.82,232,8.897063,1,0,2,5,True
-13.23,473,9.478146,1,0,4,5,True
-8.84,234,9.567199,1,1,1,5,True
-9.94,344,9.695397,1,1,1,5,True
-16.22,472,9.864419,1,0,1,5,True
-17.09,659,10.107661,1,0,2,5,True
-14.29,679,10.773403,1,0,5,5,True
-14.03,353,10.913015,1,0,2,5,True
-12.85,635,11.142617,1,0,6,5,True
6.22,628,11.368083,2,2,5,5,True
-9.17,367,11.907198,1,1,2,5,True
-14.6,1510,12.468813,1,1,8,5,True
-12.48,798,13.22904,1,1,3,5,True
-0.69,619,13.481224,1,1,13,5,True
-5.36,386,13.618897,1,1,6,5,True
6.77,773,14.307063,2,2,7,5,True
6.36,1014,14.674647,2,2,9,5,True
-4.52,902,110.102337,1,1,12,5,True
-11.89,239,110.180579,1,0,3,5,True
-7.59,309,110.278685,1,1,3,5,True
10.25,925,110.600436,2,3,7,5,True
4.73,877,111.301745,2,2,6,5,True
13.04,1846,112.408907,2,3,19,5,True
-4.9,540,112.614146,1,0,13,5,True
12.49,801,112.934234,2,3,8,5,True
6.85,665,113.596802,2,2,6,5,True
6.73,477,113.766455,2,2,4,5,True
4.78,572,113.974946,2,2,3,5,True
-12.02,452,114.151038,1,0,5,5,True
5.11,939,114.960418,2,2,7,5,True
-12.91,341,115.104967,1,0,3,5,True
5.31,519,115.338629,2,2,3,5,True
-12.84,334,115.510943,1,0,3,5,True
5.4,610,116.506527,2,2,4,5,True
10.88,562,116.950859,2,2,9,5,True
5.11,239,117.135866,2,2,0,5,True
7.42,708,117.739993,2,2,7,5,True
5.51,699,120.854406,2,2,5,5,True
3.5,700,121.879232,2,2,3,5,True
6.1,740,122.843807,2,2,6,5,True
1.94,1456,125.003736,2,2,9,5,True
17.85,865,126.575178,2,4,9,5,True
7.94,956,127.34591,2,2,10,5,True
8.07,443,127.743639,2,2,5,5,True
3.81,869,130.310862,2,2,5,5,True
8.78,472,130.86165,2,2,6,5,True
7.11,539,131.485424,2,2,5,5,True
12.23,427,131.936874,2,3,4,5,True
24.04,1746,134.448733,3,5,9,5,True
-9.42,192,134.63572,1,1,0,5,True
-7.84,334,135.925173,1,1,3,5,True
30.38,1312,137.076465,3,5,11,5,True
-5.27,477,137.520957,1,1,7,5,True
