#{"t_start": 1788626541.326352, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-12.36,286,0.392587,1,0,3,5,True
-12.44,394,0.526758,1,0,4,5,True
-14.37,287,0.625551,1,0,1,5,True
-12.46,196,0.693385,1,0,2,5,True
-7.69,319,0.812277,1,1,3,5,True
-13.24,274,0.910056,1,0,2,5,True
-12.24,174,0.973107,1,0,2,5,True
-12.35,185,1.494786,1,0,2,5,True
-12.39,189,1.567021,1,0,2,5,True
-11.73,223,1.643634,1,0,3,5,True
-14.17,167,1.70187,1,0,0,5,True
-13.73,123,1.744375,1,0,0,5,True
-12.8,230,1.861902,1,0,2,5,True
-14.13,163,1.928728,1,0,0,5,True
-13.81,131,1.981477,1,0,0,5,True
-13.95,145,2.037736,1,0,0,5,True
-10.28,378,2.177228,1,0,6,5,True
-13.46,196,2.251783,1,0,1,5,True
-14.53,203,2.75423,1,0,0,5,True
-14.63,213,2.831338,1,0,0,5,True
-13.26,176,2.893252,1,0,1,5,True
-11.99,249,2.9802,1,0,3,5,True
-12.47,197,3.048023,1,0,2,5,True
-13.01,151,3.101315,1,0,1,5,True
-13.96,146,3.153182,1,0,0,5,True
-11.04,454,3.309427,1,0,6,5,True
-13.89,439,3.873173,1,0,3,5,True
-14.2,370,4.004746,1,0,2,5,True
-14.74,224,4.085016,1,0,0,5,True
-13.51,201,4.156751,1,0,1,5,True
-12.59,309,4.265409,1,0,3,5,True
-10.24,374,4.396166,1,0,6,5,True
-14.86,236,4.472354,1,0,0,5,True
-13.45,195,4.936235,1,0,1,5,True
-11.74,424,5.085139,1,0,5,5,True
-13.56,306,5.191899,1,0,2,5,True
-15.05,255,5.280544,1,0,0,5,True
-14.08,458,5.440166,1,0,3,5,True
-13.14,264,5.531908,1,0,2,5,True
-13.52,302,5.638367,1,0,2,5,True
-12.52,402,6.182842,1,0,4,5,True
-14.27,277,6.276619,1,0,1,5,True
-13.31,281,6.370567,1,0,2,5,True
-10.73,523,6.554337,1,0,7,5,True
-13.77,227,6.63471,1,0,1,5,True
-15.03,253,6.724335,1,0,0,5,True
-15.06,356,7.265617,1,0,1,5,True
-12.06,256,7.351558,1,0,3,5,True
-13.08,258,7.438403,1,0,2,5,True
-11.41,591,7.650079,1,0,7,5,True
-5.44,294,7.755008,1,1,5,5,True
-13.87,237,7.83928,1,0,1,5,True
