#{"t_start": 1789147777.393989, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-13.3,180,0.389943,1,0,1,5,True
-11.65,315,0.507604,1,0,4,5,True
-12.81,131,0.555044,1,0,1,5,True
-12.88,138,0.603711,1,0,1,5,True
-14.28,178,0.666406,1,0,0,5,True
-14.26,176,0.726922,1,0,0,5,True
-14.12,162,0.781202,1,0,0,5,True
-14.16,266,0.871118,1,0,1,5,True
-13.73,123,0.913156,1,0,0,5,True
-15.13,263,1.003579,1,0,0,5,True
-7.78,228,1.505421,1,1,2,5,True
-13.48,198,1.578998,1,0,1,5,True
-14.01,351,1.706864,1,0,2,5,True
-13.34,284,1.805181,1,0,2,5,True
-14.01,251,1.89559,1,0,1,5,True
-13.07,157,1.951539,1,0,1,5,True
-13.99,149,2.006052,1,0,0,5,True
-8.24,174,2.069285,1,1,1,5,True
-14.25,175,2.133302,1,0,0,5,True
-13.26,276,2.646598,1,0,2,5,True
-12.93,143,2.697287,1,0,1,5,True
-13.08,258,2.783791,1,0,2,5,True
-13.52,302,2.894922,1,0,2,5,True
-15.45,295,3.006112,1,0,0,5,True
-14.13,163,3.066395,1,0,0,5,True
-12.6,210,3.146095,1,0,2,5,True
-11.16,266,3.243477,1,0,4,5,True
-12.29,279,3.346108,1,0,3,5,True
-13.76,126,3.800849,1,0,0,5,True
-10.47,397,3.965371,1,0,6,5,True
-12.26,276,4.06581,1,0,3,5,True
-14.11,261,4.162812,1,0,1,5,True
-11.57,307,4.277012,1,0,4,5,True
-9.56,506,4.46229,1,0,8,5,True
-13.17,167,4.521799,1,0,1,5,True
-5.1,660,5.18185,1,1,9,5,True
-10.57,707,5.443797,1,0,9,5,True
-13.58,408,5.591962,1,0,3,5,True
-11.93,643,6.228716,1,1,2,5,True
-6.18,668,6.477668,1,1,8,5,True
-13.24,174,6.538917,1,0,1,5,True
-8.99,649,6.768523,1,0,10,5,True
-12.84,334,7.304548,1,0,3,5,True
-0.22,972,7.658884,1,1,17,5,True
-9.84,334,7.781674,1,0,6,5,True
-10.38,388,7.923686,1,0,6,5,True
