#{"t_start": 1788626667.7179708, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-14.71,221,0.409875,1,0,0,5,True
-11.88,238,0.491407,1,0,3,5,True
-12.68,118,0.662992,1,0,1,5,True
-14.07,157,0.712895,1,0,0,5,True
-11.69,319,0.919682,1,0,4,5,True
-15.0,250,1.001191,1,0,0,5,True
-12.93,343,1.215261,1,0,3,5,True
-13.87,137,1.263917,1,0,0,5,True
-10.63,413,1.520317,1,0,6,5,True
-13.29,179,1.583735,1,0,1,5,True
-13.73,323,1.80157,1,0,2,5,True
-14.76,226,1.881384,1,0,0,5,True
-10.76,226,2.062266,1,0,4,5,True
-14.69,219,2.138611,1,0,0,5,True
-14.04,154,2.190829,1,0,0,5,True
-15.37,287,2.392111,1,0,0,5,True
-14.35,185,2.455556,1,0,0,5,True
-13.15,265,2.647799,1,0,2,5,True
-15.47,297,2.751182,1,0,0,5,True
-15.4,290,2.954728,1,0,0,5,True
-14.51,301,3.159774,1,0,1,5,True
-8.64,314,3.267039,1,1,2,5,True
-14.93,243,3.505754,1,0,0,5,True
-14.71,321,3.630305,1,0,1,5,True
-12.26,276,3.851146,1,0,3,5,True
-13.27,177,3.910023,1,0,1,5,True
-5.74,324,4.125808,1,1,5,5,True
-13.28,278,4.217485,1,0,2,5,True
-9.3,280,4.425095,1,1,1,5,True
-14.91,241,4.512499,1,0,0,5,True
-11.36,186,4.67631,1,0,3,5,True
-13.89,239,4.753873,1,0,1,5,True
-5.69,219,4.937666,1,1,4,5,True
-9.02,252,5.027874,1,1,1,5,True
-14.37,187,5.094343,1,0,0,5,True
-12.7,220,5.276926,1,0,2,5,True
-14.15,165,5.334418,1,0,0,5,True
-12.66,316,5.547497,1,0,3,5,True
-14.38,188,5.613839,1,0,0,5,True
-14.43,193,5.783779,1,0,0,5,True
-14.63,213,5.857377,1,0,0,5,True
-14.06,156,5.910799,1,0,0,5,True
9.38,512,6.191465,2,2,7,5,True
-15.31,281,6.390552,1,0,0,5,True
-10.41,291,6.493552,1,0,5,5,True
-14.25,175,6.65703,1,0,0,5,True
-13.66,216,6.730022,1,0,1,5,True
-6.75,425,6.982675,1,0,10,5,True
-2.67,717,7.34411,1,0,17,5,True
-3.67,717,7.787562,1,0,16,5,True
-13.22,272,7.884417,1,0,2,5,True
-8.13,563,8.188068,1,0,10,5,True
-0.78,1528,9.059629,1,1,22,5,True
-4.84,634,9.493067,1,0,14,5,True
14.17,933,9.928258,2,2,16,5,True
-5.42,692,10.402497,1,1,9,5,True
11.91,559,10.708991,2,2,10,5,True
-8.08,658,11.056303,1,0,11,5,True
-11.02,352,11.286718,1,0,5,5,True
-4.93,643,11.627258,1,0,14,5,True
0.1,740,12.102305,1,1,15,5,True
-9.23,673,12.461473,1,0,10,5,True
0.23,1027,13.039989,1,1,18,5,True
-0.73,923,13.588012,1,1,16,5,True
5.65,985,14.157148,1,0,28,5,True
-6.61,511,14.457359,1,0,11,5,True
3.2,630,14.799458,1,1,17,5,True
-9.09,459,15.069677,1,0,8,5,True
11.63,487,15.358029,2,2,9,5,True
17.76,674,15.716525,2,2,17,5,True
-9.23,173,15.777941,1,1,0,5,True
-3.09,1259,16.557879,1,1,17,5,True
-7.05,655,16.901954,1,0,12,5,True
0.46,904,17.438509,1,0,22,5,True
-0.9,940,17.99073,1,1,16,5,True
-1.96,446,18.255389,1,1,10,5,True
-2.76,726,18.617729,1,0,17,5,True
0.28,1822,19.699831,1,1,26,5,True
5.98,952,20.138934,1,1,23,5,True
-12.39,289,20.348939,1,0,3,5,True
-7.76,426,20.615042,1,0,9,5,True
-0.15,1065,21.192798,1,1,18,5,True
13.9,1460,22.036595,1,0,41,5,True
-5.97,547,22.341737,1,0,12,5,True
-12.34,384,22.592266,1,0,4,5,True
-5.27,477,22.857928,1,1,7,5,True
6.71,1079,23.467626,1,0,30,5,True
2.51,1099,24.089621,1,1,21,5,True
12.35,815,24.498232,2,2,13,5,True
2.03,847,25.016883,1,0,23,5,True
-10.74,424,25.279147,1,0,6,5,True
-2.06,956,25.85384,1,1,15,5,True
15.78,1572,26.754613,1,0,44,5,True
6.84,1066,27.368022,1,0,30,5,True
13.34,1316,28.086408,2,2,19,5,True
-7.4,490,28.36869,1,0,10,5,True
