#{"t_start": 1788626609.948323, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-12.66,216,0.39115,1,0,2,5,True
-13.51,301,0.490442,1,0,2,5,True
-14.61,211,0.561841,1,0,0,5,True
-13.04,154,0.61363,1,0,1,5,True
-14.42,192,0.680617,1,0,0,5,True
-11.56,206,0.753216,1,0,3,5,True
-12.96,246,0.83668,1,0,2,5,True
-13.79,129,0.89613,1,0,0,5,True
-13.83,233,0.976191,1,0,1,5,True
-14.89,239,1.471536,1,0,0,5,True
-12.88,338,1.587761,1,0,3,5,True
-14.87,337,1.702861,1,0,1,5,True
-12.92,142,1.752441,1,0,1,5,True
-10.71,221,1.829351,1,0,4,5,True
-13.3,280,1.923492,1,0,2,5,True
-15.09,259,2.012989,1,0,0,5,True
-12.47,197,2.083302,1,0,2,5,True
-12.37,387,2.623147,1,0,4,5,True
-13.43,293,2.726369,1,0,2,5,True
-12.55,205,2.798828,1,0,2,5,True
-13.23,273,2.894697,1,0,2,5,True
-9.71,221,2.970463,1,1,0,5,True
-14.04,154,3.024491,1,0,0,5,True
-13.89,139,3.071927,1,0,0,5,True
-13.94,244,3.160744,1,0,1,5,True
-13.73,123,3.204298,1,0,0,5,True
-13.69,219,3.689532,1,0,1,5,True
-11.83,333,3.829171,1,0,4,5,True
-12.78,228,3.908194,1,0,2,5,True
-13.53,203,3.97836,1,0,1,5,True
-12.59,309,4.084275,1,0,3,5,True
-14.19,169,4.14171,1,0,0,5,True
-13.17,167,4.200658,1,0,1,5,True
-12.74,224,4.280086,1,0,2,5,True
-10.19,269,4.372983,1,0,5,5,True
-13.76,126,4.415988,1,0,0,5,True
-9.71,321,4.932313,1,0,6,5,True
-10.39,189,4.999193,1,0,4,5,True
-13.81,131,5.044718,1,0,0,5,True
-12.41,191,5.111722,1,0,2,5,True
-14.33,183,5.176501,1,0,0,5,True
-13.21,171,5.236548,1,0,1,5,True
-12.81,231,5.317528,1,0,2,5,True
-12.66,216,5.393015,1,0,2,5,True
-10.28,278,5.488292,1,0,5,5,True
-13.84,134,5.535195,1,0,0,5,True
-13.33,183,6.005988,1,0,1,5,True
-10.11,261,6.107087,1,0,5,5,True
-7.47,397,6.240808,1,0,9,5,True
-9.9,540,6.419186,1,1,3,5,True
-12.86,136,6.463077,1,0,1,5,True
-5.53,703,7.131105,1,0,14,5,True
-13.2,370,7.267041,1,0,3,5,True
-8.88,438,7.430673,1,1,3,5,True
-11.46,296,7.529447,1,0,4,5,True
-12.96,146,7.577872,1,0,1,5,True
-12.29,279,7.670964,1,0,3,5,True
