#{"t_start": 1789147736.842896, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-14.45,195,0.406348,1,0,0,5,True
-10.3,480,0.566498,1,0,7,5,True
-12.02,352,0.677879,1,0,4,5,True
-15.32,282,0.772553,1,0,0,5,True
-14.18,268,0.861241,1,0,1,5,True
-7.71,121,0.901866,1,1,1,5,True
-11.6,210,0.979276,1,0,3,5,True
-13.75,225,1.482881,1,0,1,5,True
-11.68,218,1.561568,1,0,3,5,True
-14.82,232,1.647525,1,0,0,5,True
-13.11,161,1.705425,1,0,1,5,True
-13.87,137,1.754012,1,0,0,5,True
-7.69,519,1.943436,1,0,10,5,True
-13.76,126,1.989178,1,0,0,5,True
-14.13,363,2.123865,1,0,2,5,True
-14.28,178,2.188356,1,0,0,5,True
-11.36,386,2.744692,1,0,5,5,True
-14.4,490,2.923587,1,0,3,5,True
-13.81,131,2.972289,1,0,0,5,True
-13.43,193,3.043695,1,0,1,5,True
-7.95,245,3.133601,1,1,2,5,True
-12.74,224,3.216365,1,0,2,5,True
-12.42,292,3.320422,1,0,3,5,True
-12.97,247,3.845221,1,0,2,5,True
-12.95,145,3.897096,1,0,1,5,True
-12.29,279,3.99175,1,0,3,5,True
-14.26,176,4.057018,1,0,0,5,True
-15.01,251,4.150412,1,0,0,5,True
-13.1,260,4.246534,1,0,2,5,True
-12.38,288,4.349247,1,0,3,5,True
-13.8,130,4.397541,1,0,0,5,True
-13.05,155,4.453684,1,0,1,5,True
-9.37,387,5.024273,1,1,2,5,True
-13.13,163,5.086806,1,0,1,5,True
-13.86,136,5.138385,1,0,0,5,True
-6.58,208,5.21482,1,1,3,5,True
-11.61,311,5.330258,1,0,4,5,True
-7.8,430,5.489001,1,1,4,5,True
-13.17,267,5.588745,1,0,2,5,True
-14.49,299,5.70093,1,0,1,5,True
-12.9,240,6.206732,1,0,2,5,True
-15.32,282,6.312463,1,0,0,5,True
-12.1,260,6.410275,1,0,3,5,True
-11.53,203,6.485545,1,0,3,5,True
-14.58,208,6.561749,1,0,0,5,True
-14.04,154,6.621455,1,0,0,5,True
-9.85,435,6.782301,1,0,7,5,True
-13.02,252,6.875347,1,0,2,5,True
-14.11,161,7.35805,1,0,0,5,True
-14.03,153,7.418304,1,0,0,5,True
-13.15,165,7.478234,1,0,1,5,True
-13.94,144,7.531216,1,0,0,5,True
-14.77,227,7.615704,1,0,0,5,True
-15.02,252,7.709816,1,0,0,5,True
-12.37,287,7.816787,1,0,3,5,True
-11.11,361,7.950519,1,0,5,5,True
-11.04,254,8.043475,1,0,4,5,True
