#{"t_start": 1789147766.2506728, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-14.07,257,0.408893,1,0,1,5,True
-14.04,254,0.498998,1,0,1,5,True
-12.88,238,0.582016,1,0,2,5,True
-14.67,217,0.663057,1,0,0,5,True
-13.44,194,0.734898,1,0,1,5,True
-12.36,186,0.804613,1,0,2,5,True
-11.09,259,0.89768,1,0,4,5,True
-11.66,216,0.976539,1,0,3,5,True
-14.56,206,1.049706,1,0,0,5,True
-13.06,156,1.10293,1,0,1,5,True
-13.87,237,1.184981,1,0,1,5,True
-12.0,150,1.239532,1,0,2,5,True
-13.16,166,1.296131,1,0,1,5,True
-13.32,182,1.356485,1,0,1,5,True
-14.04,154,1.412342,1,0,0,5,True
-14.02,352,1.542783,1,0,2,5,True
-14.9,240,1.629301,1,0,0,5,True
-14.12,262,1.722393,1,0,1,5,True
-12.09,259,2.647909,1,0,3,5,True
-11.17,567,2.856512,1,0,7,5,True
-13.91,241,2.93755,1,0,1,5,True
-12.13,263,3.026173,1,0,3,5,True
-13.87,137,3.075988,1,0,0,5,True
-14.42,292,3.182157,1,0,1,5,True
-12.88,338,3.307668,1,0,3,5,True
-10.1,460,3.501309,1,0,7,5,True
-13.84,134,3.552046,1,0,0,5,True
-13.92,142,3.604407,1,0,0,5,True
-12.5,300,3.713367,1,0,3,5,True
-14.29,179,3.779638,1,0,0,5,True
-13.0,150,3.835527,1,0,1,5,True
-11.81,531,4.032179,1,0,6,5,True
-11.79,329,4.974656,1,0,4,5,True
-10.97,347,5.093892,1,0,5,5,True
-13.14,364,5.227686,1,0,3,5,True
-3.48,398,5.374903,1,1,8,5,True
-9.64,414,5.524626,1,0,7,5,True
-12.6,310,5.632792,1,0,3,5,True
-13.02,352,5.760915,1,0,3,5,True
-10.32,582,5.97277,1,0,8,5,True
-14.08,258,6.069799,1,0,1,5,True
-12.38,488,6.24973,1,0,5,5,True
-14.47,197,6.321112,1,0,0,5,True
-10.7,720,7.404855,1,0,9,5,True
-13.36,586,7.628056,1,0,5,5,True
-6.52,602,7.861764,1,1,7,5,True
-11.97,547,8.063347,1,0,6,5,True
-12.81,431,8.218892,1,0,4,5,True
-9.48,898,8.542587,1,0,12,5,True
-13.83,133,8.594692,1,0,0,5,True
