#{"t_start": 1788626619.64015, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-14.11,161,0.37104,1,0,0,5,True
-12.73,123,0.414889,1,0,1,5,True
-11.74,324,0.530418,1,0,4,5,True
-10.53,203,0.600497,1,0,4,5,True
-13.47,197,0.670465,1,0,1,5,True
-7.05,355,0.797638,1,1,4,5,True
-13.61,211,0.87132,1,0,1,5,True
-14.69,219,0.948757,1,0,0,5,True
-11.28,278,1.640136,1,0,4,5,True
-13.35,185,1.704305,1,0,1,5,True
-12.45,295,1.810466,1,0,3,5,True
-13.67,117,1.85237,1,0,0,5,True
-9.13,163,1.911276,1,1,0,5,True
-13.13,263,2.005724,1,0,2,5,True
-13.07,157,2.063623,1,0,1,5,True
-14.35,185,2.129718,1,0,0,5,True
-13.16,466,2.296643,1,0,4,5,True
-13.79,129,2.343841,1,0,0,5,True
-12.41,591,3.125788,1,0,6,5,True
-13.13,163,3.18407,1,0,1,5,True
-13.85,135,3.233517,1,0,0,5,True
-14.8,230,3.316476,1,0,0,5,True
-11.03,353,3.443429,1,0,5,5,True
-11.88,238,3.531314,1,0,3,5,True
-14.14,264,3.627501,1,0,1,5,True
-12.41,191,4.267092,1,0,2,5,True
-12.91,241,4.376637,1,0,2,5,True
-11.6,210,4.454038,1,0,3,5,True
-14.42,292,4.562457,1,0,1,5,True
-14.36,186,4.629932,1,0,0,5,True
-11.24,674,4.874311,1,0,8,5,True
-14.19,169,4.935003,1,0,0,5,True
-13.19,169,4.995354,1,0,1,5,True
-11.17,267,5.666436,1,0,4,5,True
-12.84,234,5.753167,1,0,2,5,True
-10.81,431,5.91176,1,0,6,5,True
-8.02,452,6.076771,1,0,9,5,True
-12.64,214,6.152712,1,0,2,5,True
-11.05,455,6.317607,1,0,6,5,True
-5.18,568,7.098224,1,1,8,5,True
-12.13,663,7.338742,1,0,7,5,True
-7.34,984,8.258648,1,1,10,5,True
-0.07,857,8.582291,1,1,16,5,True
-11.04,454,8.750134,1,0,6,5,True
-11.7,220,8.831286,1,0,3,5,True
