#{"t_start": 1789124141.243943, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-13.64,214,0.540137,1,0,1,5,True
-14.73,223,0.613977,1,0,0,5,True
-11.17,167,0.670687,1,0,3,5,True
-13.84,334,0.781594,1,0,2,5,True
-11.69,219,0.859605,1,0,3,5,True
-13.5,200,0.932818,1,0,1,5,True
-14.39,189,1.002405,1,0,0,5,True
-13.73,223,1.083539,1,0,1,5,True
-13.54,204,1.160893,1,0,1,5,True
-11.51,201,1.68348,1,0,3,5,True
-13.7,220,1.767226,1,0,1,5,True
-14.19,169,1.829021,1,0,0,5,True
-12.08,258,1.924116,1,0,3,5,True
-7.64,214,2.003274,1,1,2,5,True
-13.76,226,2.088546,1,0,1,5,True
-11.72,322,2.209777,1,0,4,5,True
-14.49,199,2.283903,1,0,0,5,True
-14.83,233,2.363553,1,0,0,5,True
-14.41,191,2.867992,1,0,0,5,True
-9.49,199,2.942418,1,1,0,5,True
-7.01,451,3.117165,1,0,10,5,True
-12.16,166,3.181866,1,0,2,5,True
-8.84,234,3.270574,1,1,1,5,True
-12.08,258,3.364184,1,0,3,5,True
-10.02,552,3.568931,1,0,8,5,True
-15.2,270,4.113439,1,0,0,5,True
-13.95,145,4.165946,1,0,0,5,True
-13.8,230,4.249669,1,0,1,5,True
-8.35,285,4.354046,1,1,2,5,True
-13.29,279,4.457207,1,0,2,5,True
-13.7,220,4.53969,1,0,1,5,True
-12.35,285,4.645818,1,0,3,5,True
-12.97,547,5.256821,1,0,5,5,True
-13.87,137,5.307211,1,0,0,5,True
-13.88,238,5.398559,1,0,1,5,True
-10.41,491,5.578091,1,0,7,5,True
-12.46,396,5.72315,1,0,4,5,True
-1.92,1042,6.522355,1,1,16,5,True
-11.16,466,6.689408,1,0,6,5,True
-12.32,382,6.832211,1,0,4,5,True
-8.49,599,7.044537,1,1,5,5,True
-6.76,526,7.642031,1,0,11,5,True
-8.6,710,7.909288,1,0,11,5,True
-2.99,749,8.166012,1,1,12,5,True
-11.83,733,8.847809,1,0,8,5,True
12.89,861,9.159433,2,2,14,5,True
-4.87,737,9.868346,1,0,15,5,True
9.28,1022,10.24959,2,2,12,5,True
-1.66,616,10.476845,1,1,12,5,True
1.64,1086,11.325601,1,0,25,5,True
17.62,1488,12.317345,2,2,25,5,True
8.82,1368,12.860052,2,2,15,5,True
10.83,467,13.033822,2,2,8,5,True
8.27,1223,13.968018,2,2,13,5,True
6.44,706,14.239628,2,2,6,5,True
11.63,787,14.947221,2,2,12,5,True
8.32,518,15.148676,2,2,6,5,True
10.4,1210,16.001891,2,2,15,5,True
-6.28,678,16.265401,1,0,13,5,True
14.19,1131,17.104964,2,2,18,5,True
32.68,882,17.448164,3,5,9,5,True
18.99,851,17.766499,2,2,20,5,True
17.6,1090,18.604657,2,2,21,5,True
26.83,1667,19.718787,2,3,31,5,True
16.18,1132,20.143277,2,2,20,5,True
25.61,1289,21.077829,2,2,31,5,True
-1.01,1051,21.507028,1,1,17,5,True
14.84,866,22.257061,2,2,16,5,True
28.02,1148,22.768456,2,4,22,5,True
12.4,1010,23.567684,2,2,15,5,True
9.99,751,23.888484,2,2,10,5,True
29.87,1563,24.921499,3,5,13,5,True
29.95,1455,25.88537,2,4,27,5,True
-4.99,549,26.11065,1,0,13,5,True
11.67,583,26.334861,2,2,10,5,True
-5.21,671,27.015693,1,0,14,5,True
26.0,1450,27.5611,2,3,28,5,True
1.6,890,28.30493,1,1,18,5,True
9.22,628,28.545306,2,2,8,5,True
8.06,644,28.791131,2,2,7,5,True
20.56,1594,29.835468,2,2,29,5,True
