#{"t_start": 1789115085.5023239, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated,pickups_collected,shield_blocks,elites_killed
-13.47,197,0.374199,1,0,1,5,True,0,0,0
-11.14,264,0.470877,1,0,4,5,True,0,0,0
-12.89,339,0.594295,1,0,3,5,True,0,0,0
-13.9,240,0.680744,1,0,1,5,True,0,0,0
-12.72,222,0.762173,1,0,2,5,True,0,0,0
-10.4,390,0.905159,1,0,6,5,True,0,0,0
-14.11,161,0.962931,1,0,0,5,True,0,0,0
-14.18,268,1.511717,1,0,1,5,True,0,0,0
-12.95,345,1.639534,1,0,3,5,True,0,0,0
-12.15,265,1.745458,1,0,3,5,True,0,0,0
-13.18,368,1.869208,1,0,3,5,True,0,0,0
-11.1,260,1.955904,1,0,4,5,True,0,0,0
-13.0,250,2.040863,1,0,2,5,True,0,0,0
-13.13,263,2.13826,1,0,2,5,True,0,0,0
-12.95,345,2.694977,1,0,3,5,True,0,0,0
-13.4,190,2.763758,1,0,1,5,True,0,0,0
-12.84,234,2.849631,1,0,2,5,True,0,0,0
-13.93,343,2.977874,1,0,2,5,True,0,0,0
-12.15,365,3.112242,1,0,4,5,True,0,0,0
-13.55,205,3.187164,1,0,1,5,True,0,0,0
-12.76,326,3.306702,1,0,3,5,True,0,0,0
-12.77,227,3.391619,1,0,2,5,True,0,0,0
-13.96,146,3.884462,1,0,0,5,True,0,0,0
-10.71,321,4.003189,1,0,5,5,True,0,0,0
-13.88,338,4.128114,1,0,2,5,True,0,0,0
-13.45,195,4.201139,1,0,1,5,True,0,0,0
-13.27,177,4.267775,1,0,1,5,True,0,0,0
-14.88,238,4.355965,1,0,0,5,True,0,0,0
-14.31,181,4.423402,1,0,0,5,True,0,0,0
-12.79,129,4.470679,1,0,1,5,True,0,0,0
-12.99,249,4.564063,1,0,2,5,True,0,0,0
-14.77,227,5.096532,1,0,0,5,True,0,0,0
-10.39,489,5.279054,1,0,7,5,True,0,0,0
-11.99,349,5.409822,1,0,4,5,True,0,0,0
-12.46,296,5.519634,1,0,3,5,True,0,0,0
-9.86,636,5.770146,1,0,9,5,True,0,0,0
-6.44,794,6.489428,1,0,14,5,True,0,0,0
-12.98,148,6.545732,1,0,1,5,True,0,0,0
-15.54,404,6.693648,1,0,1,5,True,0,0,0
-9.96,546,6.896975,1,0,8,5,True,0,0,0
-13.74,124,6.942868,1,0,0,5,True,0,0,0
-11.97,147,6.999296,1,0,2,5,True,0,0,0
-8.19,569,7.661201,1,0,10,5,True,0,0,0
-10.21,371,7.799491,1,0,6,5,True,0,0,0
-14.66,216,7.882015,1,0,0,5,True,0,0,0
-10.09,559,8.104885,1,0,8,5,True,0,0,0
-12.8,430,8.706238,1,0,4,5,True,0,0,0
-15.05,555,8.910506,1,0,3,5,True,0,0,0
-13.25,475,9.094029,1,0,4,5,True,0,0,0
-12.19,569,9.322268,1,0,6,5,True,0,0,0
-14.91,641,10.014961,1,0,4,5,True,0,0,0
12.89,1061,10.410074,2,2,16,5,True,0,0,0
