#{"t_start": 1788949869.174838, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-14.9,340,0.430649,1,0,1,5,True
-13.68,118,0.546832,1,0,0,5,True
-13.13,163,0.831668,1,0,1,5,True
-14.24,274,1.30174,1,0,1,5,True
-14.02,252,1.761952,1,0,1,5,True
-12.47,197,2.086911,1,0,2,5,True
-9.04,254,2.526742,1,1,1,5,True
-13.73,223,2.926807,1,0,1,5,True
-11.06,356,5.661692,1,0,5,5,True
-14.22,172,5.947875,1,0,0,5,True
-12.15,165,6.232223,1,0,2,5,True
-14.12,162,6.528855,1,0,0,5,True
-13.66,116,6.744327,1,0,0,5,True
-13.27,177,7.050026,1,0,1,5,True
-14.84,234,7.477193,1,0,0,5,True
-14.36,286,7.97873,1,0,1,5,True
-11.59,209,8.346347,1,0,3,5,True
-14.59,209,8.730366,1,0,0,5,True
-13.33,183,9.056299,1,0,1,5,True
-12.85,235,11.536609,1,0,2,5,True
-13.92,242,11.956688,1,0,1,5,True
-14.47,197,12.309642,1,0,0,5,True
-14.06,256,12.766325,1,0,1,5,True
-10.85,335,13.364012,1,0,5,5,True
-14.25,175,13.685901,1,0,0,5,True
-15.46,296,14.214304,1,0,0,5,True
-12.63,213,14.615054,1,0,2,5,True
-12.62,312,17.322058,1,0,3,5,True
-12.25,175,17.620855,1,0,2,5,True
-13.77,527,18.567265,1,0,4,5,True
-11.9,340,19.155074,1,0,4,5,True
-12.81,431,19.912286,1,0,4,5,True
-7.48,498,22.877084,1,1,5,5,True
-12.51,401,23.623528,1,0,4,5,True
-12.37,187,23.977558,1,0,2,5,True
-14.45,195,24.338125,1,0,0,5,True
-14.97,247,24.820731,1,0,0,5,True
-6.58,708,26.114065,1,1,8,5,True
-11.21,371,28.90621,1,0,5,5,True
6.1,1440,31.669221,2,2,13,5,True
-15.32,282,32.176824,1,0,0,5,True
13.69,1081,36.341573,2,2,17,5,True
-12.77,527,37.307508,1,0,5,5,True
-9.16,966,41.147459,1,1,8,5,True
15.16,1334,43.817126,2,2,21,5,True
-5.89,1339,48.382111,1,0,20,5,True
5.94,456,49.270034,2,2,3,5,True
1.15,635,52.559089,1,1,15,5,True
10.52,1598,55.42613,2,2,19,5,True
11.44,806,59.002494,2,2,12,5,True
14.17,1033,61.088179,2,2,17,5,True
30.63,1687,66.617443,3,5,15,5,True
21.06,1344,71.51715,2,2,27,5,True
18.83,1567,74.520533,2,2,27,5,True
11.87,1163,78.731297,2,2,16,5,True
18.92,858,80.360607,2,4,10,5,True
15.54,796,84.140922,2,2,16,5,True
17.07,1143,86.766434,2,2,21,5,True
10.74,1076,91.038624,2,2,14,5,True
11.23,827,92.817885,2,2,12,5,True
8.95,855,96.904716,2,2,10,5,True
13.63,587,97.988685,2,2,12,5,True
12.53,1197,102.419561,2,2,17,5,True
35.5,2000,108.818944,2,4,27,3,False
14.55,1195,111.082031,2,2,19,5,True
16.53,1097,115.343275,2,3,15,5,True
23.19,1131,117.506657,2,4,17,5,True
-0.58,608,120.763885,1,1,13,5,True
20.22,1128,121.777119,2,2,24,5,True
8.05,745,122.063835,2,2,8,5,True
53.0,2000,123.283542,3,6,25,4,False
22.2,1230,124.219773,2,4,17,5,True
12.04,846,124.579099,2,2,13,5,True
9.01,649,125.210921,2,2,8,5,True
53.5,2000,126.432376,3,7,19,1,False
8.78,572,126.678638,2,2,7,5,True
