#{"t_start": 1789118761.4577322, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-14.44,194,0.47092,1,0,0,5,True
-14.68,218,0.546426,1,0,0,5,True
-14.22,172,0.606651,1,0,0,5,True
-15.64,314,0.713992,1,0,0,5,True
-15.12,262,0.801787,1,0,0,5,True
-16.15,365,0.927027,1,0,0,5,True
-13.03,353,1.048977,1,0,3,5,True
-15.02,252,1.553525,1,0,0,5,True
-15.08,258,1.641945,1,0,0,5,True
-15.71,321,1.755276,1,0,0,5,True
-14.54,204,1.825904,1,0,0,5,True
-14.31,181,1.888054,1,0,0,5,True
-14.25,175,1.947719,1,0,0,5,True
-15.1,260,2.037372,1,0,0,5,True
-15.1,460,2.196698,1,0,2,5,True
-14.4,190,2.663364,1,0,0,5,True
-15.0,250,2.753887,1,0,0,5,True
-15.19,269,2.849187,1,0,0,5,True
-15.7,320,2.962803,1,0,0,5,True
-13.96,146,3.014336,1,0,0,5,True
-14.23,173,3.074683,1,0,0,5,True
-14.95,245,3.161348,1,0,0,5,True
-15.0,250,3.250872,1,0,0,5,True
-14.87,237,3.331914,1,0,0,5,True
-14.26,176,3.799019,1,0,0,5,True
-17.15,465,3.999774,1,0,0,5,True
-13.81,131,4.049108,1,0,0,5,True
-17.32,882,4.387598,1,0,4,5,True
-13.79,129,4.438344,1,0,0,5,True
-10.65,715,5.108536,1,1,4,5,True
-19.56,1006,5.491725,1,0,3,5,True
-13.54,404,5.649547,1,0,3,5,True
-14.33,1083,6.492828,1,1,4,5,True
-14.71,921,6.861609,1,1,2,5,True
-13.99,149,6.920712,1,0,0,5,True
-17.11,661,7.597958,1,0,2,5,True
-11.84,734,7.88011,1,1,3,5,True
8.07,1243,8.777262,2,2,13,5,True
-6.6,810,9.088935,1,1,9,5,True
6.43,907,9.81978,2,2,8,5,True
16.39,1211,10.28341,2,3,16,5,True
6.87,663,10.529372,2,2,6,5,True
8.5,1300,11.425489,2,2,14,5,True
7.2,630,11.66149,2,2,6,5,True
-13.76,126,11.710084,1,0,0,5,True
-8.16,766,12.433814,1,1,7,5,True
6.63,1187,12.90222,2,2,11,5,True
-13.41,191,13.373656,1,0,1,5,True
2.67,1283,13.854027,2,2,8,5,True
6.49,901,14.596613,2,2,8,5,True
-9.97,747,14.873866,1,0,10,5,True
-5.94,444,15.038982,1,1,6,5,True
9.06,544,15.242574,2,2,7,5,True
8.12,538,15.853862,2,2,6,5,True
23.29,1321,16.378483,3,5,4,5,True
-10.67,717,17.055223,1,1,4,5,True
12.99,951,17.425931,2,2,15,5,True
-6.43,493,17.608731,1,1,6,5,True
-9.07,357,18.148018,1,0,7,5,True
-12.7,520,18.349048,1,0,5,5,True
8.55,895,18.719517,2,3,5,5,True
14.11,739,19.427121,2,3,9,5,True
9.34,716,19.710392,2,2,9,5,True
9.59,491,19.891868,2,2,7,5,True
22.0,2000,21.08042,2,4,14,4,False
12.82,568,21.291636,2,2,11,5,True
2.18,732,21.971818,1,1,17,5,True
13.64,1186,22.46948,2,4,8,5,True
3.43,507,23.066918,2,2,1,5,True
-11.79,329,23.18365,1,0,4,5,True
-10.26,276,23.286116,1,1,0,5,True
8.59,491,23.467698,2,2,6,5,True
-5.44,294,23.579021,1,1,5,5,True
9.09,541,24.183157,2,2,7,5,True
-11.9,540,24.391414,1,0,6,5,True
14.77,873,24.714313,2,2,16,5,True
6.93,557,25.325647,2,2,5,5,True
15.62,1088,25.749173,2,3,14,5,True
10.33,417,25.903054,2,2,7,5,True
11.34,316,26.025414,2,2,7,5,True
32.0,2000,27.293177,3,5,9,4,False
8.28,422,27.863515,2,2,5,5,True
8.48,902,28.213274,2,2,10,5,True
10.51,699,28.478653,2,2,10,5,True
9.88,762,29.164848,2,2,10,5,True
-10.4,290,29.281166,1,0,5,5,True
7.25,525,29.502656,2,2,5,5,True
-7.67,417,29.676106,1,0,9,5,True
