#{"t_start": 1789207838.2028701, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-19.704692,866,0.634006,1,0,4,10,True
-17.551023,252,0.729274,1,0,0,10,True
-17.060831,403,0.873772,1,0,2,10,True
-17.905166,387,1.012035,1,0,1,10,True
-19.853773,483,1.640804,1,0,0,10,True
-23.262959,922,1.980802,1,0,1,10,True
-8.675546,962,2.763612,1,1,11,10,True
-7.114868,1207,3.223204,1,1,15,10,True
14.831797,1709,4.383566,2,2,27,10,True
6.039389,1191,5.313956,2,2,13,10,True
32.510272,1243,5.805726,3,5,15,10,True
67.305221,1859,6.967613,3,6,51,10,True
46.189832,1668,8.005271,3,5,33,10,True
49.227615,1271,8.939437,3,6,27,10,True
21.722715,622,9.181249,2,4,13,10,True
34.419548,652,9.430427,3,5,11,10,True
54.058073,1184,10.279128,3,5,36,10,True
34.507971,1142,10.698531,2,4,31,10,True
9.634481,532,11.327989,2,2,10,10,True
49.797628,813,11.655446,3,6,23,10,True
51.934856,999,12.052555,3,6,27,10,True
117.868491,2000,13.2364,4,9,66,6,False
117.122595,1477,14.231682,5,13,42,10,True
50.766583,815,14.98261,3,6,24,10,True
128.485993,1541,15.582427,5,15,44,10,True
112.897728,1301,16.523098,5,13,36,10,True
195.854992,2000,17.745444,6,18,80,8,False
130.156339,1673,18.819571,5,15,47,10,True
80.336274,959,19.175311,4,9,30,10,True
243.845389,2000,20.334697,8,25,73,8,False
82.454301,846,21.073376,4,11,21,10,True
89.499362,942,21.441809,4,11,29,10,True
110.416122,1148,22.313903,5,13,32,10,True
149.387031,1349,22.814981,6,17,43,10,True
214.350667,2000,23.968726,7,22,67,5,False
128.674944,1422,24.950123,5,15,43,10,True
222.863039,2000,26.10908,7,22,77,8,False
227.931596,1992,27.289382,8,27,58,10,True
273.860923,2000,28.472812,9,30,68,8,False
255.694992,1915,29.644816,9,30,60,10,True
