#{"t_start": 1789115243.625472, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated,pickups_collected,shield_blocks,elites_killed
-14.17,167,0.576165,1,0,0,5,True,0,0,0
-15.08,258,0.675466,1,0,0,5,True,0,0,0
-14.95,245,0.772143,1,0,0,5,True,0,0,0
-14.17,167,0.827559,1,0,0,5,True,0,0,0
-14.66,216,0.900129,1,0,0,5,True,0,0,0
-14.19,169,0.957623,1,0,0,5,True,0,0,0
-14.75,225,1.033632,1,0,0,5,True,0,0,0
-14.33,183,1.094544,1,0,0,5,True,0,0,0
-14.72,222,1.171359,1,0,0,5,True,0,0,0
-14.07,157,1.227884,1,0,0,5,True,0,0,0
-14.88,238,1.787301,1,0,0,5,True,0,0,0
-13.89,139,1.841048,1,0,0,5,True,0,0,0
-14.28,278,1.948298,1,0,1,5,True,0,0,0
-14.3,180,2.009036,1,0,0,5,True,0,0,0
-11.21,371,2.135159,1,1,0,5,True,0,0,0
-13.83,433,2.28418,1,0,3,5,True,0,0,0
-13.96,146,2.333183,1,0,0,5,True,0,0,0
-14.33,183,2.40107,1,0,0,5,True,0,0,0
-16.05,355,2.97218,1,0,0,5,True,0,0,0
-15.11,261,3.069055,1,0,0,5,True,0,0,0
-16.57,407,3.21973,1,0,0,5,True,0,0,0
-14.97,247,3.297107,1,0,0,5,True,0,0,0
-14.61,311,3.394226,1,0,1,5,True,0,0,0
-15.98,348,3.508444,1,0,0,5,True,0,0,0
-14.48,198,3.572405,1,0,0,5,True,0,0,0
-13.73,323,4.139444,1,0,2,5,True,0,0,0
-13.97,147,4.187419,1,0,0,5,True,0,0,0
-14.49,199,4.254348,1,0,0,5,True,0,0,0
-16.08,358,4.377595,1,0,0,5,True,0,0,0
-12.92,242,4.460036,1,0,2,5,True,0,0,0
-10.73,423,4.607355,1,1,1,5,True,0,0,0
-15.07,257,4.694376,1,0,0,5,True,0,0,0
-14.23,173,5.212823,1,0,0,5,True,0,0,0
-14.47,197,5.281498,1,0,0,5,True,0,0,0
-15.46,296,5.387305,1,0,0,5,True,0,0,0
-15.04,254,5.474456,1,0,0,5,True,0,0,0
-15.98,348,5.593427,1,0,0,5,True,0,0,0
-16.37,387,5.727959,1,0,0,5,True,0,0,0
-14.2,370,5.878505,1,0,2,5,True,0,0,0
-14.84,234,6.416411,1,0,0,5,True,0,0,0
-14.2,170,6.471812,1,0,0,5,True,0,0,0
-15.52,302,6.573759,1,0,0,5,True,0,0,0
-12.75,125,6.614885,1,0,1,5,True,0,0,0
-14.19,169,6.670418,1,0,0,5,True,0,0,0
-15.35,285,6.771613,1,0,0,5,True,0,0,0
-18.21,771,7.063246,1,0,2,5,True,0,0,0
-16.03,353,7.64031,1,0,0,5,True,0,0,0
-16.65,1815,8.324474,1,1,9,5,True,0,0,0
-15.99,349,8.903687,1,0,0,5,True,0,0,0
-14.21,571,9.128521,1,0,4,5,True,0,0,0
-13.76,326,9.252672,1,0,2,5,True,0,0,0
-15.31,581,9.482706,1,0,3,5,True,0,0,0
-21.02,852,10.281863,1,0,0,5,True,0,0,0
-12.43,393,10.437374,1,0,4,5,True,0,0,0
-8.0,2000,11.689208,1,1,8,2,False,1,1,0
-11.61,411,11.858479,1,0,5,5,True,0,0,0
-13.12,762,12.589123,1,0,7,5,True,0,0,0
5.09,841,12.923599,2,2,6,5,True,1,1,0
-15.6,910,13.282565,1,0,6,5,True,0,0,0
6.22,828,14.092162,2,2,7,5,True,1,1,0
0.82,1168,14.540784,2,2,5,5,True,0,0,0
9.84,1366,15.524614,2,2,16,5,True,0,0,0
8.73,677,15.795223,2,2,8,5,True,1,1,0
8.09,741,16.566664,2,2,8,5,True,0,0,0
-9.71,1621,17.661112,1,1,14,5,True,0,0,0
7.82,968,18.031427,2,2,10,5,True,1,1,0
