#{"t_start": 1788950221.135724, "env_id": "None"}
r,l,t,phase,spawners_destroyed,enemies_killed,damage_taken,terminated
-14.84,234,0.91697,1,0,0,5,True
-13.94,144,1.031794,1,0,0,5,True
-15.15,265,1.266607,1,0,0,5,True
-15.08,358,1.568905,1,0,1,5,True
-14.22,172,1.701189,1,0,0,5,True
-14.61,211,1.860492,1,0,0,5,True
-16.01,351,2.141705,1,0,0,5,True
-14.43,193,2.277523,1,0,0,5,True
-9.5,200,3.159583,1,1,0,5,True
-14.27,177,3.248155,1,0,0,5,True
-14.63,313,3.397976,1,0,1,5,True
-14.24,174,3.484496,1,0,0,5,True
-15.21,271,3.607475,1,0,0,5,True
-14.46,196,3.689533,1,0,0,5,True
-14.56,206,3.777502,1,0,0,5,True
-14.44,194,3.86278,1,0,0,5,True
-14.79,229,3.95441,1,0,0,5,True
-14.86,236,4.537532,1,0,0,5,True
-17.22,772,4.854003,1,0,3,5,True
-16.54,504,5.043542,1,0,1,5,True
-14.89,439,5.213774,1,0,2,5,True
-14.31,181,5.279925,1,0,0,5,True
-14.62,212,5.79314,1,0,0,5,True
-14.0,2000,7.031834,1,1,2,2,False
-14.36,186,7.102456,1,0,0,5,True
-12.18,268,7.203112,1,0,3,5,True
-13.71,121,7.247814,1,0,0,5,True
-7.88,938,7.621985,1,1,9,5,True
-16.92,542,8.302186,1,0,1,5,True
-14.0,2000,9.169292,1,1,3,4,False
10.0,2000,10.517172,2,3,7,4,False
-5.5,500,11.216751,1,1,7,5,True
5.95,1055,11.688995,2,2,9,5,True
6.2,1430,12.812733,2,2,13,5,True
9.88,462,13.021741,2,2,7,5,True
-7.19,369,13.185481,1,1,4,5,True
-12.52,202,13.278173,1,0,2,5,True
-4.14,664,14.052555,1,1,10,5,True
-12.31,281,14.171391,1,0,3,5,True
-12.37,887,14.562868,1,0,9,5,True
-8.66,416,15.215216,1,1,3,5,True
-6.71,821,15.620291,1,1,9,5,True
10.24,626,15.90325,2,2,9,5,True
-12.54,204,15.993707,1,0,2,5,True
9.74,1076,16.929779,2,2,13,5,True
-12.92,542,17.164742,1,0,5,5,True
10.03,947,18.031004,2,2,12,5,True
3.44,1206,18.528812,2,2,8,5,True
6.39,811,19.324107,2,2,7,5,True
5.26,1024,19.778131,2,2,8,5,True
7.42,808,20.157526,2,2,8,5,True
7.95,755,20.950117,2,2,8,5,True
-9.17,367,21.118617,1,0,7,5,True
-9.39,389,21.281781,1,0,7,5,True
10.26,524,21.510468,2,2,8,5,True
31.7,880,22.32962,3,5,8,5,True
-5.04,654,22.632805,1,0,14,5,True
9.71,579,22.922928,2,3,3,5,True
36.16,934,23.797466,3,5,13,5,True
10.01,549,24.031107,2,2,8,5,True
13.96,754,24.823189,2,3,9,5,True
9.18,732,25.163001,2,2,9,5,True
9.65,785,25.528794,2,2,10,5,True
-3.46,496,26.173341,1,1,9,5,True
7.66,984,26.612413,2,2,10,5,True
11.09,441,26.8371,2,2,8,5,True
7.99,451,27.047491,2,2,5,5,True
13.33,917,27.883038,2,2,15,5,True
11.15,835,28.249751,2,3,7,5,True
10.88,862,29.071509,2,2,12,5,True
33.95,655,29.342183,3,5,8,5,True
-5.24,574,29.581185,1,1,8,5,True
12.55,495,30.252138,2,3,5,5,True
-9.12,462,30.443417,1,0,8,5,True
13.96,654,30.748747,2,3,8,5,True
10.78,572,30.999233,2,2,9,5,True
14.88,662,31.767841,2,3,9,5,True
-7.07,457,31.998383,1,1,5,5,True
7.9,660,32.354549,2,2,7,5,True
15.97,653,33.140144,2,4,5,5,True
8.06,744,33.479985,2,2,8,5,True
14.24,426,33.665099,2,3,6,5,True
5.82,468,33.868698,2,2,3,5,True
4.59,491,34.52838,2,2,2,5,True
-7.78,328,34.665974,1,1,3,5,True
12.25,725,35.014037,2,3,7,5,True
5.48,302,35.156657,2,2,1,5,True
