episode,return,steps,died,collected,epsilon
0,1.0,300,0,1,1.0
1,3.0,211,0,3,0.999525
2,0.0,300,0,0,0.99905
3,0.0,300,0,0,0.998575
4,3.0,132,0,3,0.9981
5,1.0,300,0,1,0.997625
6,2.0,300,0,2,0.99715
7,1.0,300,0,1,0.996675
8,2.0,300,0,2,0.9962
9,3.0,162,0,3,0.995725
10,1.0,300,0,1,0.99525
11,1.0,300,0,1,0.994775
12,2.0,300,0,2,0.9943
13,2.0,300,0,2,0.993825
14,1.0,300,0,1,0.99335
15,3.0,115,0,3,0.992875
16,1.0,300,0,1,0.9924
17,1.0,300,0,1,0.991925
18,2.0,300,0,2,0.99145
19,3.0,162,0,3,0.990975
20,1.0,300,0,1,0.9905
21,2.0,300,0,2,0.990025
22,1.0,300,0,1,0.98955
23,3.0,116,0,3,0.989075
24,2.0,300,0,2,0.9886
25,3.0,242,0,3,0.988125
26,2.0,300,0,2,0.98765
27,1.0,300,0,1,0.987175
28,3.0,232,0,3,0.9867
29,1.0,300,0,1,0.986225
30,3.0,68,0,3,0.98575
31,3.0,249,0,3,0.985275
32,2.0,300,0,2,0.9848
33,3.0,231,0,3,0.984325
34,2.0,300,0,2,0.98385
35,3.0,217,0,3,0.983375
36,2.0,300,0,2,0.9829
37,0.0,300,0,0,0.982425
38,1.0,300,0,1,0.98195
39,3.0,278,0,3,0.981475
40,0.0,300,0,0,0.981
41,3.0,244,0,3,0.980525
42,2.0,300,0,2,0.98005
43,2.0,300,0,2,0.979575
44,2.0,300,0,2,0.9791
45,2.0,300,0,2,0.978625
46,3.0,235,0,3,0.97815
47,3.0,288,0,3,0.977675
48,3.0,180,0,3,0.9772
49,0.0,300,0,0,0.976725
50,3.0,208,0,3,0.97625
51,3.0,184,0,3,0.9757750000000001
52,3.0,152,0,3,0.9753000000000001
53,2.0,300,0,2,0.974825
54,1.0,300,0,1,0.97435
55,3.0,241,0,3,0.973875
56,3.0,260,0,3,0.9734
57,2.0,300,0,2,0.972925
58,1.0,300,0,1,0.97245
59,2.0,300,0,2,0.971975
60,2.0,300,0,2,0.9715
61,0.0,300,0,0,0.971025
62,3.0,184,0,3,0.97055
63,2.0,300,0,2,0.970075
64,2.0,300,0,2,0.9696
65,2.0,300,0,2,0.969125
66,2.0,300,0,2,0.96865
67,3.0,192,0,3,0.968175
68,2.0,300,0,2,0.9677
69,3.0,149,0,3,0.967225
70,2.0,300,0,2,0.96675
71,3.0,137,0,3,0.966275
72,3.0,221,0,3,0.9658
73,3.0,257,0,3,0.965325
74,1.0,300,0,1,0.96485
75,2.0,300,0,2,0.964375
76,3.0,142,0,3,0.9639
77,2.0,300,0,2,0.963425
78,3.0,207,0,3,0.96295
79,0.0,300,0,0,0.962475
80,2.0,300,0,2,0.962
81,3.0,83,0,3,0.961525
82,3.0,172,0,3,0.96105
83,2.0,300,0,2,0.960575
84,2.0,300,0,2,0.9601
85,2.0,300,0,2,0.959625
86,1.0,300,0,1,0.95915
87,3.0,299,0,3,0.958675
88,2.0,300,0,2,0.9582
89,2.0,300,0,2,0.957725
90,3.0,71,0,3,0.95725
91,3.0,248,0,3,0.956775
92,2.0,300,0,2,0.9563
93,3.0,227,0,3,0.955825
94,3.0,296,0,3,0.95535
95,2.0,300,0,2,0.954875
96,3.0,132,0,3,0.9544
97,2.0,300,0,2,0.953925
98,3.0,243,0,3,0.95345
99,1.0,300,0,1,0.952975
100,2.0,300,0,2,0.9525
101,3.0,299,0,3,0.952025
102,3.0,152,0,3,0.95155
103,3.0,174,0,3,0.951075
104,3.0,206,0,3,0.9506
105,2.0,300,0,2,0.950125
106,3.0,207,0,3,0.94965
107,3.0,131,0,3,0.949175
108,3.0,103,0,3,0.9487
109,3.0,85,0,3,0.948225
110,1.0,300,0,1,0.94775
111,3.0,283,0,3,0.947275
112,3.0,175,0,3,0.9468
113,3.0,184,0,3,0.946325
114,3.0,78,0,3,0.94585
115,3.0,158,0,3,0.945375
116,3.0,138,0,3,0.9449
117,3.0,201,0,3,0.944425
118,2.0,300,0,2,0.94395
119,2.0,300,0,2,0.9434750000000001
120,3.0,290,0,3,0.9430000000000001
121,3.0,249,0,3,0.9425250000000001
122,3.0,160,0,3,0.94205
123,3.0,236,0,3,0.941575
124,2.0,300,0,2,0.9411
125,3.0,216,0,3,0.940625
126,3.0,288,0,3,0.94015
127,3.0,137,0,3,0.939675
128,2.0,300,0,2,0.9392
129,3.0,156,0,3,0.938725
130,3.0,53,0,3,0.93825
131,1.0,300,0,1,0.937775
132,3.0,167,0,3,0.9373
133,3.0,126,0,3,0.936825
134,2.0,300,0,2,0.93635
135,3.0,63,0,3,0.935875
136,3.0,93,0,3,0.9354
137,3.0,192,0,3,0.934925
138,3.0,197,0,3,0.93445
139,3.0,144,0,3,0.933975
140,3.0,245,0,3,0.9335
141,3.0,206,0,3,0.933025
142,2.0,300,0,2,0.93255
143,3.0,201,0,3,0.932075
144,3.0,140,0,3,0.9316
145,3.0,117,0,3,0.931125
146,2.0,300,0,2,0.93065
147,3.0,54,0,3,0.930175
148,3.0,133,0,3,0.9297
