episode,return,steps,died,collected,epsilon
0,0.0,59,1,0,1.0
1,0.0,94,1,0,0.999905
2,0.0,4,1,0,0.99981
3,0.0,2,1,0,0.999715
4,1.0,400,0,2,0.99962
5,0.0,29,1,0,0.999525
6,0.0,27,1,0,0.99943
7,0.0,7,1,0,0.999335
8,0.0,54,1,0,0.99924
9,0.0,25,1,0,0.999145
10,0.0,7,1,0,0.99905
11,0.0,24,1,0,0.998955
12,1.0,210,1,1,0.99886
13,1.0,232,1,2,0.998765
14,0.0,20,1,0,0.99867
15,0.0,8,1,0,0.998575
16,0.0,3,1,0,0.99848
17,1.0,82,1,2,0.998385
18,0.0,21,1,0,0.99829
19,1.0,284,1,2,0.998195
20,0.0,20,1,0,0.9981
21,0.0,5,1,0,0.998005
22,0.0,63,1,0,0.99791
23,0.0,43,1,0,0.997815
24,0.0,10,1,0,0.99772
25,0.0,18,1,0,0.997625
26,0.0,4,1,0,0.99753
27,0.0,13,1,0,0.997435
28,0.0,21,1,0,0.99734
29,0.0,74,1,1,0.997245
30,0.0,25,1,0,0.99715
31,0.0,45,1,0,0.997055
32,0.0,23,1,0,0.99696
33,0.0,22,1,0,0.996865
34,1.0,182,1,2,0.99677
35,0.0,47,1,0,0.996675
36,0.0,18,1,0,0.99658
37,0.0,16,1,0,0.996485
38,1.0,89,1,1,0.99639
39,0.0,61,1,0,0.996295
40,0.0,16,1,0,0.9962
41,0.0,18,1,0,0.996105
42,0.0,27,1,0,0.99601
43,0.0,21,1,0,0.995915
44,0.0,15,1,0,0.99582
45,0.0,7,1,0,0.995725
46,0.0,48,1,0,0.99563
47,0.0,31,1,0,0.995535
48,0.0,43,1,0,0.99544
49,0.0,30,1,0,0.995345
50,0.0,8,1,0,0.99525
51,1.0,228,1,2,0.995155
52,0.0,9,1,0,0.9950600000000001
53,0.0,27,1,0,0.994965
54,0.0,22,1,0,0.99487
55,0.0,20,1,0,0.994775
56,1.0,63,1,2,0.99468
57,0.0,3,1,0,0.994585
58,1.0,400,0,2,0.99449
59,0.0,50,1,0,0.994395
60,0.0,4,1,0,0.9943
61,0.0,22,1,0,0.994205
62,0.0,4,1,0,0.99411
63,0.0,10,1,0,0.994015
64,0.0,33,1,0,0.99392
65,0.0,22,1,0,0.993825
66,0.0,4,1,0,0.99373
67,0.0,24,1,0,0.993635
68,0.0,7,1,0,0.99354
69,0.0,104,1,0,0.993445
70,0.0,4,1,0,0.99335
71,0.0,24,1,0,0.993255
72,2.0,274,1,3,0.99316
73,0.0,28,1,0,0.993065
74,0.0,45,1,0,0.99297
75,0.0,31,1,0,0.992875
76,0.0,14,1,0,0.99278
77,0.0,12,1,0,0.992685
78,0.0,6,1,0,0.99259
79,0.0,18,1,0,0.992495
80,0.0,8,1,0,0.9924
81,0.0,46,1,0,0.992305
82,0.0,22,1,0,0.99221
83,0.0,72,1,1,0.992115
84,0.0,45,1,0,0.99202
85,1.0,113,1,2,0.991925
86,0.0,15,1,0,0.99183
87,0.0,45,1,0,0.991735
88,0.0,29,1,0,0.99164
89,0.0,9,1,0,0.991545
90,0.0,11,1,0,0.99145
91,0.0,11,1,0,0.991355
92,0.0,4,1,0,0.99126
93,0.0,19,1,0,0.991165
94,0.0,6,1,0,0.99107
95,0.0,4,1,0,0.990975
96,0.0,9,1,0,0.99088
97,0.0,11,1,0,0.990785
98,0.0,9,1,0,0.99069
99,0.0,3,1,0,0.990595
100,0.0,29,1,0,0.9905
101,0.0,17,1,0,0.990405
102,0.0,45,1,0,0.99031
103,0.0,60,1,0,0.990215
104,0.0,23,1,0,0.99012
105,0.0,15,1,0,0.990025
106,0.0,38,1,0,0.98993
107,0.0,9,1,0,0.989835
108,2.0,281,1,3,0.98974
109,0.0,55,1,0,0.989645
110,0.0,5,1,0,0.98955
111,0.0,14,1,0,0.989455
112,0.0,7,1,0,0.98936
113,0.0,63,1,1,0.989265
114,0.0,17,1,0,0.98917
115,0.0,313,1,0,0.989075
116,0.0,9,1,0,0.98898
117,0.0,3,1,0,0.988885
118,0.0,12,1,0,0.98879
119,0.0,5,1,0,0.988695
120,0.0,7,1,0,0.9886
121,0.0,6,1,0,0.988505
122,1.0,131,1,2,0.98841
123,0.0,110,1,1,0.988315
124,0.0,56,1,0,0.98822
125,0.0,7,1,0,0.988125
126,0.0,10,1,0,0.98803
127,0.0,4,1,0,0.987935
128,0.0,119,1,0,0.98784
129,0.0,9,1,0,0.987745
130,0.0,24,1,0,0.98765
131,0.0,42,1,0,0.987555
132,1.0,209,1,2,0.98746
133,2.0,254,1,3,0.987365
134,1.0,156,1,2,0.98727
135,0.0,16,1,0,0.987175
136,0.0,25,1,0,0.98708
137,0.0,21,1,0,0.986985
138,0.0,52,1,1,0.98689
139,0.0,21,1,0,0.986795
140,0.0,8,1,0,0.9867
141,0.0,25,1,0,0.986605
142,1.0,90,1,2,0.98651
143,0.0,18,1,0,0.986415
144,0.0,10,1,0,0.98632
145,0.0,16,1,0,0.986225
146,0.0,6,1,0,0.98613
147,0.0,15,1,0,0.986035
148,1.0,80,1,2,0.98594
149,3.0,116,1,3,0.985845
150,0.0,29,1,0,0.98575
151,0.0,3,1,0,0.985655
152,0.0,3,1,0,0.98556
153,1.0,148,1,2,0.985465
154,0.0,29,1,0,0.98537
155,0.0,33,1,0,0.985275
156,0.0,35,1,0,0.9851800000000001
157,0.0,6,1,0,0.985085
158,0.0,40,1,0,0.98499
159,0.0,32,1,0,0.984895
160,0.0,29,1,0,0.9848
161,0.0,36,1,0,0.984705
162,0.0,8,1,0,0.98461
163,0.0,3,1,0,0.984515
164,0.0,37,1,0,0.98442
165,0.0,26,1,0,0.984325
166,0.0,44,1,0,0.98423
167,1.0,93,1,2,0.984135
168,0.0,9,1,0,0.98404
169,0.0,63,1,0,0.983945
170,0.0,6,1,0,0.98385
171,0.0,39,1,0,0.983755
172,0.0,29,1,1,0.98366
173,0.0,28,1,0,0.983565
174,0.0,6,1,0,0.98347
175,2.0,139,1,3,0.983375
176,0.0,16,1,0,0.98328
177,0.0,26,1,0,0.983185
178,0.0,47,1,0,0.98309
179,0.0,14,1,0,0.982995
180,0.0,34,1,0,0.9829
181,0.0,133,1,0,0.982805
182,0.0,43,1,0,0.98271
183,0.0,3,1,0,0.982615
184,0.0,33,1,0,0.98252
185,0.0,13,1,0,0.982425
186,0.0,11,1,0,0.98233
187,0.0,10,1,0,0.982235
188,0.0,17,1,0,0.98214
189,0.0,47,1,0,0.9820450000000001
190,0.0,30,1,0,0.98195
191,0.0,28,1,0,0.981855
192,0.0,24,1,0,0.98176
193,0.0,9,1,0,0.981665
194,0.0,13,1,0,0.98157
195,0.0,8,1,0,0.981475
196,0.0,4,1,0,0.98138
197,0.0,8,1,0,0.981285
198,1.0,145,1,2,0.98119
199,0.0,5,1,0,0.981095
200,0.0,4,1,0,0.981
201,0.0,115,1,1,0.980905
202,0.0,67,1,1,0.98081
203,0.0,27,1,0,0.980715
204,0.0,57,1,0,0.98062
205,0.0,14,1,0,0.980525
206,0.0,14,1,0,0.98043
207,0.0,3,1,0,0.980335
208,0.0,9,1,0,0.98024
209,0.0,67,1,1,0.980145
210,0.0,11,1,0,0.98005
211,0.0,55,1,0,0.979955
212,1.0,267,1,2,0.97986
213,4.0,301,0,4,0.979765
214,0.0,5,1,0,0.97967
215,0.0,32,1,0,0.979575
216,0.0,14,1,0,0.97948
217,1.0,296,1,2,0.979385
218,0.0,6,1,0,0.97929
219,0.0,27,1,0,0.979195
220,0.0,6,1,0,0.9791
221,0.0,35,1,0,0.979005
222,0.0,7,1,0,0.97891
223,0.0,22,1,0,0.978815
224,0.0,10,1,0,0.97872
225,0.0,17,1,0,0.978625
226,0.0,45,1,0,0.97853
227,0.0,17,1,0,0.9784349999999999
228,0.0,11,1,0,0.97834
229,0.0,49,1,0,0.978245
230,0.0,6,1,0,0.97815
231,0.0,46,1,0,0.978055
232,0.0,35,1,0,0.97796
233,0.0,30,1,0,0.977865
234,0.0,3,1,0,0.97777
235,0.0,4,1,0,0.977675
236,0.0,13,1,0,0.97758
237,0.0,41,1,0,0.977485
238,0.0,14,1,0,0.97739
239,0.0,45,1,0,0.977295
240,0.0,7,1,0,0.9772
241,1.0,224,1,2,0.977105
242,0.0,38,1,0,0.97701
243,0.0,28,1,0,0.976915
244,0.0,22,1,0,0.97682
245,0.0,18,1,0,0.976725
246,0.0,27,1,0,0.97663
247,0.0,9,1,0,0.976535
248,0.0,33,1,0,0.97644
249,0.0,22,1,0,0.976345
250,0.0,25,1,0,0.97625
251,0.0,16,1,0,0.976155
252,0.0,7,1,0,0.97606
253,0.0,52,1,1,0.975965
254,0.0,5,1,0,0.97587
255,0.0,25,1,0,0.9757750000000001
256,0.0,23,1,0,0.97568
257,0.0,42,1,0,0.975585
258,0.0,53,1,0,0.97549
259,0.0,132,1,0,0.975395
260,0.0,3,1,0,0.9753000000000001
